"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"125";"234156";"1";"002";"13:25";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"126";"234156";"1";"082";"13:30";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"127";"234156";"1";"110";"13:31";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"128";"234156";"1";"111";"13:32";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"129";"234156";"1";"112";"13:33";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"130";"234156";"1";"121";"13:34";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"131";"234156";"1";"122";"13:35";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"132";"234156";"1";"128";"13:40";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"133";"234156";"1";"170";"13:45";"AME_AME.IN"
"EVT";"2019-03-26-18.17.37.049316";"2019-02-27";"134";"234156";"1";"666";"13:50";"AME_AME.IN"
